x_norm,y_norm,z_norm
-0.5002286148282875,0.2996345834059513,0.13538638826657737
-0.5062208167948323,0.2932528766588811,0.13209556068316292
-0.5116137985647229,0.28750934058651795,0.12913381585808986
-0.5164674821576241,0.2823401581213912,0.12646824551552424
-0.5208357973912352,0.277687893902777,0.12406923220721516
-0.5247672811014853,0.27350085610602426,0.12191012022973678
-0.5283056164407104,0.26973252208894677,0.1199669194500064
-0.5314901182460128,0.26634102147357713,0.11821803874824896
-0.5283639679042402,0.2526524930079608,0.12322570128349622
-0.5255504325966449,0.2403328173889061,0.12773259756521865
-0.5230182508198091,0.22924510933175685,0.13178880421876887
-0.5207392872206567,0.21926617208032254,0.135439390206964
-0.5186882199814197,0.21028512855403167,0.13872491759633993
-0.5168422594661064,0.20220218938036988,0.14168189224677827
-0.5151808950023246,0.1949275441240743,0.14434316943217262
-0.5196778689514657,0.18625312781105152,0.1302841809819553
-0.5237251455056929,0.17844615312933104,0.11763109137675978
-0.5273676944044975,0.17141987591578262,0.10624331073208383
-0.5306459884134215,0.16509622642358904,0.09599430815187544
-0.5335964530214529,0.1594049418806148,0.08677020582968793
-0.5362518711686812,0.15428278579193797,0.0784685137397191
-0.538641747501187,0.14967284531212882,0.07099699085874707
-0.5707536460331665,0.1455238988803006,0.04781848234879993
-0.599654354711948,0.1417898470916552,0.026957824689847656
-0.6256649925228512,0.13842920048187432,0.008183232796790646
-0.6490745665526643,0.13540461853307156,-0.008713899906960811
-0.670143183179496,0.13268249477914906,-0.02392131934033723
-0.6891049381436444,0.13023258340061883,-0.03760799683037575
-0.7061705176113778,0.1280276631599416,-0.049926006571410386
-0.7454983469985177,0.13242494169040228,-0.07417552567199956
-0.7808933934469435,0.13638249236781688,-0.09600009286252967
-0.8127489352505268,0.13994428797749,-0.1156422033340068
-0.8414189228737518,0.14314990402619585,-0.13332010275833645
-0.8672219117346541,0.14603495847003106,-0.1492302122402328
-0.8904446017094665,0.14863150746948278,-0.16354931077393983
-0.9113450226867976,0.15096840156898933,-0.17643649945427617
-0.9421398054994855,0.18072566882918256,-0.18803496926657856
-0.9698551100309045,0.20750720936335645,-0.1984735920976509
-0.9947988841091815,0.23161059584411298,-0.20786835264561607
-1.0172482807796308,0.2533036436767938,-0.21632363713878452
-1.0374527377830352,0.2728273867262066,-0.22393339318263633
-1.055636749086099,0.29039875547067806,-0.23078217362210293
-1.0720023592588566,0.3062129873407024,-0.23694607601762283
-1.0567703985816137,0.28853726228837356,-0.22274862267310383
-1.0430616339720955,0.2726291097412776,-0.20997091466303697
-1.0307237458235288,0.25831177244889125,-0.1984709774539769
-1.0196196464898186,0.24542616888574348,-0.18812103396582258
-1.0096259570894797,0.23382912567891048,-0.17880608482648377
-1.0006316366291745,0.22339178679276084,-0.1704226306010788
-0.9925367482149001,0.21399818179522612,-0.16287752179821455
-0.985251348642053,0.2055439372974449,-0.1560869238756367
