x_norm,y_norm,z_norm
-0.5532051039444997,-0.28770563938814664,0.053071234904952816
-0.5532051039444997,-0.28770563938814664,0.053071234904952816
-0.5532051039444997,-0.28770563938814664,0.053071234904952816
-0.5532051039444997,-0.27673149950974896,0.04532914307777184
-0.5532051039444997,-0.2668547736191911,0.03836126043330888
-0.5532051039444997,-0.25796572031768894,0.03209016605329205
-0.5532051039444997,-0.24996557234633707,0.026446181111277278
-0.5532051039444997,-0.24276543917212037,0.021366594663463905
-0.5532051039444997,-0.23628531931532532,0.016794966860431824
-0.5532051039444997,-0.2304532114442098,0.012680501837702779
-0.5532051039444997,-0.23983650086473604,0.005106437403656238
-0.5532051039444997,-0.24828146134320966,-0.0017102205869856909
-0.5532051039444997,-0.25588192577383595,-0.007845212778563513
-0.5532051039444997,-0.2627223437613995,-0.013366705750983338
-0.5532051039444997,-0.2688787199502068,-0.018336049426161266
-0.5532051039444997,-0.27441945852013333,-0.022808458733821358
-0.5532051039444997,-0.2794061232330672,-0.0268336271107154
-0.5460810997885132,-0.29121021472697284,-0.03819837047710118
-0.5396694960481252,-0.3018338970714879,-0.048426639506848425
-0.5338990526817758,-0.31139521118155145,-0.05763208163362086
-0.5287056536520618,-0.32000039388060864,-0.06591697954771614
-0.5240315945253191,-0.3277450583097601,-0.07337338767040164
-0.5198249413112506,-0.3347152562959964,-0.08008415498081849
-0.5160389534185887,-0.3409884344836091,-0.08612384556019366
-0.5126315643151932,-0.34297624822632794,-0.0915595670816317
-0.5095649141221372,-0.34476528059477496,-0.0964517164509256
-0.506804928948387,-0.34637540972637726,-0.10085465088329022
-0.5043209422920117,-0.3478245259448193,-0.10481729187241848
-0.5020853543012741,-0.34912873054141713,-0.10838366876263394
-0.50007332510961,-0.3503025146783552,-0.11159340796382766
-0.49826249883711254,-0.35135892040159944,-0.11448217324490222
-0.47526074272390495,-0.3413355456741216,-0.10159787834350746
-0.45455916222201803,-0.3323145084193916,-0.09000201293225196
-0.43592773977031973,-0.3241955748901345,-0.07956573406212196
-0.41915945956379125,-0.3168885347138031,-0.07017308307900488
-0.4040680073779157,-0.31031219855510495,-0.061719697194199605
-0.3904857004106278,-0.3043934960122765,-0.054111649897874765
-0.3782616241400687,-0.29906666372373103,-0.047264407331182534
-0.360135951340579,-0.26866618828111205,-0.02948875128038807
-0.3438228458210383,-0.241305760382755,-0.013490660834672881
-0.3291410508534514,-0.21668137527423367,0.0009076205664705324
-0.3159274353826233,-0.19451942867656447,0.013866073827499475
-0.304035181458878,-0.17457367673866217,0.025528681762425908
-0.29333215292750736,-0.15662249999455014,0.036025028903859356
-0.28369942724927366,-0.1404664409248493,0.04547174133114976
-0.2892779824508366,-0.14787426751891392,0.038489598861348964
-0.29429868213224314,-0.15454131145357206,0.03220567063852838
-0.29881731184550886,-0.1605416509947644,0.02655013523798968
-0.30288407858744804,-0.16594195658183747,0.021460153377504804
-0.3065441686551933,-0.17080223161020325,0.016879169703068676
-0.309838249716164,-0.17517647913573245,0.012756284396076161
-0.31280292267103793,-0.17911330190870875,0.009045687619782812
-0.32971913664239744,-0.19728862890891763,0.0018351046075283975
-0.34494372921662086,-0.21364642320910568,-0.004654420103500619
-0.35864586253342196,-0.2283684380792749,-0.01049499234342682
-0.3709777825185432,-0.24161825146242724,-0.015751507359360314
-0.3820765105051522,-0.2535430835072643,-0.020482370873700587
-0.39206536569310013,-0.2642754323476177,-0.024740148036606877
-0.4010553353622536,-0.2739345463039357,-0.028572147483222236
-0.40914630806449137,-0.2826277488646219,-0.03202094698517632
-0.4235521876524921,-0.26850335141244414,-0.03899591245052556
-0.4365174792816927,-0.25579139370548415,-0.045273381369339755
-0.4481862417479732,-0.24435063176922017,-0.050923103396272526
-0.4586881279676259,-0.23405394602658255,-0.056007853220512153
-0.46813982556531314,-0.2247869288582087,-0.06058412806232777
-0.47664635340323175,-0.21644661340667223,-0.06470277541996165
-0.48430222845735854,-0.2089403295002894,-0.06840955804183207
-0.49831652016205924,-0.1985266273584123,-0.07174566240151557
-0.5109293826962897,-0.18915429543072296,-0.07474815632523055
-0.522280958977097,-0.1807191966958025,-0.07745040085657433
-0.532497377629824,-0.1731276078343741,-0.07988242093478355
-0.541692154417278,-0.16629517785908857,-0.08207123900517191
-0.5499674535259869,-0.16014599088133158,-0.08404117526852155
-0.5574152227238245,-0.15461172260135025,-0.08581411790553606
-0.571242219157865,-0.16426306765389734,-0.09902290401962079
-0.5836865159485017,-0.17294927820118972,-0.11091081152229704
-0.5948863830600748,-0.18076686769375283,-0.12160992827470572
-0.6049662634604902,-0.18780269823705964,-0.13123913335187312
-0.6140381558208644,-0.19413494572603576,-0.13990541792132402
-0.6222028589452011,-0.1998339684661143,-0.1477050740338297
-0.629551091757104,-0.20496308893218498,-0.15472476453508494
-0.6361645012878167,-0.19128906422098577,-0.14168725641826238
-0.6421165698654581,-0.17898244198090651,-0.1299534991131219
-0.6474734315853352,-0.16790648196483515,-0.1193931175384954
-0.6522946071332248,-0.15793811795037097,-0.10988877412133158
-0.6566336651263256,-0.14896659033735316,-0.10133486504588438
-0.6605388173201162,-0.14089221548563713,-0.09363634687798163
-0.6640534542945274,-0.1336252781190927,-0.08670768052686907
-0.6672166275714979,-0.12342698786307017,-0.07272978898368714
-0.670063483520771,-0.1142485266326499,-0.06014968659482306
-0.672625653875117,-0.10598791152527164,-0.048827594444845385
-0.6749316071940282,-0.0985533579286312,-0.03863771150986565
-0.6770069651810483,-0.09186225969165482,-0.029466816868383847
-0.6788747873693665,-0.08584027127837607,-0.021213011691050093
-0.6805558273388529,-0.0804204817064252,-0.01378458703144976
-0.6749447591554043,-0.06822657783940428,0.0006430869893715551
-0.6698947977903005,-0.05725206435908546,0.013627993608110654
-0.6653498325617069,-0.04737500222679852,0.025314409564975625
-0.6612593638559725,-0.038485646307740276,0.035832183926154275
-0.6575779420208119,-0.030485225980587862,0.045298180851214884
-0.6542646623691671,-0.02328484768615068,0.05381757808376965
-0.6512827106826871,-0.01680450722115722,0.06148503559306877
-0.6414749500088681,-0.01828829405492823,0.05677260961066677
-0.6326479654024314,-0.019623702205322134,0.05253142622650472
-0.6247036792566381,-0.020825569540676644,0.048714361180759086
-0.6175538217254243,-0.021907250142495713,0.0452790026395881
-0.6111189499473317,-0.02288076268413287,0.042187179952534126
-0.6053275653470483,-0.02375692397160631,0.03940453953418551
-0.6001153192067935,-0.0245454691303324,0.03690016315767154
-0.5954242976805643,-0.02525515977318589,0.026904132591628296
-0.5912023783069577,-0.025893881351754026,0.017907705082189248
-0.5874026508707116,-0.026468730772465355,0.009810920323694147
-0.5839828961780905,-0.026986095251105548,0.002523814041048641
-0.5809051169547315,-0.02745172328188172,-0.0040345816133323135
-0.5781351156537082,-0.027870788509580278,-0.009937137702275216
-0.5756421144827875,-0.028247947214508975,-0.015249438182323913
-0.5662744092729722,-0.035903483301209925,-0.008417370873596326
-0.5578434745841384,-0.042793465779240786,-0.0022685102957416704
-0.5502556333641879,-0.04899445000946856,0.0032654642243276494
-0.5434265762662325,-0.05457533581667355,0.008246041292390208
-0.5372804248780725,-0.059598133043158044,0.012728560653646255
-0.5317488886287287,-0.06411865054699409,0.016762828078776996
-0.5267705060043192,-0.06818711630044653,0.02039366876139432
-0.5222899616423504,-0.07184873547855374,0.015919333548569285
-0.5182574717165788,-0.07514419273885022,0.011892431857026537
-0.5146282307833844,-0.07811010427311703,0.008268220334638149
-0.5113619139435093,-0.08077942465395718,0.005006429964488687
-0.5084222287876216,-0.08318181299671332,0.0020708186313539126
-0.5057765121473227,-0.08534396250519383,-0.0005712315684672121
-0.5033953671710537,-0.0872898970628263,-0.002949076748306095
-0.5083763408483981,-0.08172514491243041,-0.008960183323751748
-0.5128592171580081,-0.0767168679770741,-0.014370179241652707
-0.516893805836657,-0.07220941873525343,-0.019239175567763785
-0.5205249356474412,-0.06815271441761482,-0.023621272261263582
-0.523792952477147,-0.06450168053174007,-0.027565159285413487
-0.5267341676238821,-0.0612157500344528,-0.031114657607148485
-0.529381261255944,-0.05825841258689425,-0.0343092060967099
-0.5317636455247994,-0.04828071563182643,-0.041055345650905614
-0.5339077913667692,-0.039300788372265395,-0.047126871249681845
-0.5358375226245423,-0.03121885383866047,-0.05259124428858024
-0.537574280756538,-0.02394511275841603,-0.057509180023588916
-0.5391373630753342,-0.017398745786196032,-0.061935322185096904
-0.5405441371622508,-0.01150701551119803,-0.06591885013045379
-0.5418102338404756,-0.006204458263699832,-0.06950402528127515
-0.5215777083829181,-0.001432156740951455,-0.05337545334906187
-0.5033684354711163,0.0028629146295220845,-0.03885973861006983
-0.48698008985049485,0.0067284788629482705,-0.025795595344977298
-0.47223057879193553,0.010207486673031839,-0.014037866406393758
-0.45895601883923204,0.013338593702107049,-0.0034559103616686156
-0.4470089148817989,0.01615659002827474,0.006067850078583928
-0.4362565213201094,0.01869278672182566,0.01463923447481143
-0.4194553629586022,0.017317317119888927,0.022353480431415926
-0.40433432043324563,0.016079394478145867,0.029296301792359886
-0.3907253821604248,0.014965264100577117,0.03554484101720949
-0.37847733771488584,0.013962546760765238,0.04116852631957427
-0.36745409771390086,0.013060101154934547,0.046229843091702694
-0.3575331817130143,0.012247900109686925,0.050785028186618196
-0.34860435731221645,0.011516919168964067,0.0548846947720421
-0.3405684153514985,0.025491222826843733,0.062445440612513885
-0.33333606758685247,0.03806809611893544,0.0692501118689385
-0.32682695459867067,0.049387282081817974,0.07537431599972094
-0.3209687529093073,0.05957454944841225,0.08088609971742489
-0.3156963713888804,0.0687430900783471,0.08584670506335869
-0.310951228020496,0.07699477664528848,0.09031124987469899
-0.30668059898895006,0.08442129455553571,0.09432934020490513
-0.30283703286055885,0.09110516067475821,0.09794562150209096
