x_norm,y_norm,z_norm
-0.5023857834308262,-0.7688348034085956,0.2270618120321085
-0.5373063304516144,-0.7328895846126607,0.1996384455680814
-0.5687348227703237,-0.7005388876963196,0.174957415750457
-0.5970204658571621,-0.6714232604716123,0.1527444889145951
-0.6224775446353167,-0.6452191959693757,0.1327528547623193
-0.6453889155356558,-0.6216355379173628,0.11476038402527103
-0.666009149345961,-0.6004102456705513,0.09856716036192771
-0.6845673597752358,-0.581307482648421,0.08399325906491871
-0.6794444072735903,-0.5538449334153795,0.0763614211904161
-0.6748337500221094,-0.5291286391056421,0.06949276710336354
-0.6706841584957767,-0.5068839742268785,0.0633109784250162
-0.666949526122077,-0.4868637758359912,0.05774736861450384
-0.6635883569857475,-0.46884559728419267,0.052740119785042505
-0.6605633047630509,-0.452629236587574,0.04823359583852742
-0.6578407577626239,-0.4380345119606171,0.04417772428666382
-0.6466603287070426,-0.4480069004508854,0.024073420011570344
-0.6365979425570193,-0.45698205009212695,0.005979546163986062
-0.6275417950219984,-0.46505968476924425,-0.010304940298839606
-0.6193912622404796,-0.47232955597864973,-0.024960978115382802
-0.6120557827371127,-0.4788724400671147,-0.03815141215027176
-0.6054538511840823,-0.4847610357467333,-0.050022802781671774
-0.5995121127863551,-0.49006077185839003,-0.06070705434993163
-0.6116248217387946,-0.4742904093326325,-0.09774624722539255
-0.6225262597959904,-0.4600970830594508,-0.13108152081330748
-0.6323375540474667,-0.4473230894135872,-0.16108326704243098
-0.6411677188737951,-0.43582649513231014,-0.18808483864864212
-0.6491148672174907,-0.4254795602791608,-0.212386253094232
-0.6562673007268166,-0.4161673189113262,-0.23425752609526318
-0.6627044908852102,-0.4077863016802752,-0.2539416717961912
-0.6335774150069763,-0.42848605808342083,-0.24149169981659638
-0.6073630467165658,-0.4471158388462519,-0.23028672503496114
-0.5837701152551965,-0.4638826415327999,-0.2202022477314895
-0.5625364769399638,-0.47897276395069305,-0.2111262181583649
-0.5434262024562545,-0.49255387412679685,-0.20295779154255286
-0.526226955420916,-0.5047768732852904,-0.19560620758832184
-0.5107476330891115,-0.5157775725279347,-0.18898978202951394
-0.5404669267664726,-0.4871654674220986,-0.1994890189050033
-0.5672142910760976,-0.4614145728268461,-0.20893833209294355
-0.59128691895476,-0.4382387676911188,-0.21744271396208975
-0.6129522840455564,-0.4173805430689642,-0.2250966576443213
-0.6324511126272729,-0.3986081409090252,-0.2319852069583299
-0.6500000583508178,-0.38171297896507994,-0.23818490134093745
-0.6657941095020082,-0.36650733321552914,-0.24376462628528434
-0.6712786187828826,-0.324579580129842,-0.24055936879598835
-0.6762146771356696,-0.2868446023527235,-0.2376746370556221
-0.680657129653178,-0.25288312235331684,-0.23507837848929233
-0.6846553369189353,-0.22231779035385085,-0.23274174577959572
-0.688253723458117,-0.19480899155433148,-0.23063877634086874
-0.6914922713433803,-0.17005107263476402,-0.2287461038460145
-0.6944069644401174,-0.1477689456071533,-0.22704269860064544
-0.6970301882271808,-0.14825515630855216,-0.21179795064780002
-0.6993910896355379,-0.14869274593981108,-0.19807767749023897
-0.7015159009030592,-0.1490865766079442,-0.18572943164843397
-0.7034282310438285,-0.1494410242092639,-0.1746160103908096
-0.7051493281705209,-0.14976002705045166,-0.16461393125894766
-0.7066983155845439,-0.1500471296075207,-0.15561206004027198
-0.7080924042571647,-0.15030552190888283,-0.1475103759434639
-0.7442676310833116,-0.18134826251948138,-0.15393054348835014
-0.7768253352268438,-0.2092867290690201,-0.1597086942787476
-0.8061272689560228,-0.2344313489636049,-0.16490902999010526
-0.832499009312284,-0.2570615068687313,-0.1695893321303272
-0.8562335756329189,-0.277428648983345,-0.17380160405652711
-0.8775946853214904,-0.29575907688649733,-0.1775926487901068
-0.8968196840412047,-0.31225646199933443,-0.18100458905032857
-0.9141221828889476,-0.32710410860088784,-0.18407533528452838
-0.9165992267191208,-0.29425170923322697,-0.20877770006652965
-0.9188285661662764,-0.2646845498023321,-0.2310098283703309
-0.9208349716687166,-0.23807410631452666,-0.25101874384375195
-0.922640736620913,-0.21412470717550186,-0.269026767769831
-0.9242659250778894,-0.19257024795037947,-0.28523398930330207
-0.9257285946891682,-0.17317123464776937,-0.29982048868342615
-0.9576004759825089,-0.1274694507643286,-0.3321446946503566
-0.9862851691465154,-0.08633784526923191,-0.36123648002059416
-1.0121013929941212,-0.04931940032364489,-0.3874190868538078
