x_norm,y_norm,z_norm
-0.2629238518106812,-0.02801510225381089,0.106944969540135
-0.2629238518106812,-0.02801510225381089,0.106944969540135
-0.2629238518106812,-0.02801510225381089,0.106944969540135
-0.2629238518106812,-0.02801510225381089,0.106944969540135
-0.26907738306283324,-0.02801510225381089,0.10320237406331559
-0.27461556118977,-0.02801510225381089,0.09983403813417809
-0.2795999215040132,-0.02801510225381089,0.09680253579795446
-0.2840858457868321,-0.02801510225381089,0.0940741836953532
-0.288123177641369,-0.02801510225381089,0.09161866680301181
-0.29175677631045227,-0.02801510225381089,0.08940870159990473
-0.29502701511262713,-0.02801510225381089,0.08741973291710826
-0.29797023003458467,-0.03415553260605985,0.07814447014895269
-0.3006191234643464,-0.0396819199230839,0.0697967336576128
-0.30300312755113196,-0.044655668508405494,0.06228377081540665
-0.30514873122923897,-0.04913204223519495,0.0555221042574214
-0.3070797745395351,-0.053160778589305444,0.049436604355234476
-0.3088177135188018,-0.05678664130800492,0.04395965444326611
-0.3103818586001416,-0.06004991775483442,0.039030399522494874
-0.31178958917334754,-0.06298686655698096,0.03459407009380056
-0.31305654668923294,-0.06563012047891285,0.030601373607975588
-0.3141968084535297,-0.06800904900865162,0.027007946770733284
-0.31522304404139695,-0.0701500846854165,0.023773862617215247
-0.31614665607047737,-0.07207701679450484,0.020863186879049016
-0.3169779068966498,-0.07381125569268437,0.01824357871469937
-0.3177260326402049,-0.07537207070104593,0.01588593136678485
-0.3183993458094045,-0.07677680420857134,0.013764048753661494
-0.3190053276616842,-0.07804106436534426,0.01185435440185072
-0.31955071132873597,-0.07917889850643985,0.010135629485220819
-0.3200415566290824,-0.08020294923342586,0.008588777060253863
-0.3204833173993943,-0.08112459488771329,0.007196609877783855
-0.32088090209267506,-0.08195407597657199,0.005943659413560555
-0.32123872831662775,-0.08270060895654484,0.004816003995759877
-0.32156077191818516,-0.08337248863852038,0.0038011141197392246
-0.3218506111595868,-0.08397718035229836,0.002887713231320762
-0.3221114664768482,-0.08452140289469855,0.0020656524317440215
-0.3223462362623835,-0.08501120318285874,0.0013257977121250795
-0.32255752906936525,-0.08545202344220285,0.0006599284644679486
-0.32274769259564895,-0.08584876167561258,6.064614157632309e-05
-0.32291883976930424,-0.08620582608568131,-0.0004787079490258906
-0.32307287222559394,-0.08652718405474323,-0.0009641266305681323
-0.32321150143625477,-0.08681640622689896,-0.0014010034439559836
-0.3233362677258494,-0.08707670618183908,-0.0017941925760051743
-0.3234485573864846,-0.0873109761412852,-0.0021480627948494875
-0.32354961808105626,-0.08752181910478668,-0.0024665459918090786
-0.32364057270617075,-0.08771157777193801,-0.002753180869072752
-0.3237224318687738,-0.08788236057237427,-0.003011152258610183
-0.32379610511511653,-0.08803606509276685,-0.003243326509193746
-0.323862411036825,-0.08817439916112015,-0.0034522833347189943
-0.3239220863663626,-0.08829889982263814,-0.003640344477691718
-0.32397579416294653,-0.08841095041800433,-0.00380959950636746
-0.324024131179872,-0.08851179595383395,-0.00396192903217542
-0.32406763449510495,-0.08860255693608056,-0.004099025605402501
-0.3241067874788146,-0.08868424182010248,-0.004222412521307082
-0.3241420251641533,-0.08875775821572225,-0.0043334607456212045
-0.32417373908095815,-0.08882392297178003,-0.00443340414750379
-0.3242022816060824,-0.08888347125223206,-0.004523353209198117
-0.3242279698786943,-0.08893706470463886,-0.0046043073647230115
-0.324251089324045,-0.08898529881180495,-0.004677166104695375
-0.32427189682486063,-0.08902870950825444,-0.004742738970670626
-0.3242906235755946,-0.08906777913505905,-0.004801754550048187
-0.3243074776512553,-0.0891029417991832,-0.004854868571487907
-0.32432264631935,-0.0891345881968949,-0.004902671190783657
-0.32433629812063514,-0.08916306995483547,-0.004945693548149831
-0.3243485847417918,-0.08918870353698195,-0.004984413669779512
-0.3243596427008328,-0.08921177376091376,-0.005019261779246142
-0.3243695948639697,-0.08923253696245242,-0.005050625077766317
-0.32437855181079295,-0.0892512238438372,-0.005078852046434392
-0.3243866130629337,-0.0892680420370835,-0.005104256318235576
-0.32439386818986055,-0.08928317841100515,-0.005127120162856683
-0.32440039780409463,-0.08929680114753462,-0.005147697623015637
-0.32440627445690523,-0.08930906161041118,-0.005166217337158697
-0.3244115634444349,-0.08932009602700006,-0.005182885079887367
-0.3244163235332116,-0.08933002700193007,-0.005197886048343211
-0.32442060761311053,-0.08933896487936706,-0.005211386919953679
-0.3244244632850196,-0.08934700896906038,-0.005223537704402893
-0.32442793338973774,-0.0893542486497844,-0.005234473410407268
-0.3244310564839841,-0.08936076436243597,-0.005244315545811164
-0.3244338672688059,-0.08936662850382242,-0.005253173467674961
-0.32443639697514537,-0.0893719062310702,-0.005261145597352213
-0.324438673710851,-0.08937665618559316,-0.005268320514061656
-0.3244407227729861,-0.0893809311446639,-0.005274777939100321
-0.32444256692890766,-0.08938477860782755,-0.005280589621634829
-0.32444422666923695,-0.08938824132467485,-0.00528582013591601
-0.3244457204355333,-0.08939135776983737,-0.005290527598769323
-0.3244470648252001,-0.08939416257048362,-0.005294764315337222
-0.32444827477590016,-0.0893966868910653,-0.005298577360248123
